LABEL,DESCRIPTION,UNIT,UNCERTAINTY
oau_out_rtd,Outdoor air temperature,DEG_F,0.2
oau_t_out_sp_f,Outdoor air temperature (simulated),DEG_F,NA
oau_rh,Outdoor air relative humidity,PERCENT_RH,2
oau_rh_out_sp_per,Outdoor air humidity ratio (simulated),KiloGM-PER-KiloGM,NA
indoor_p,Local air pressure,PSI,0.2
ch1_power,Power consumption of Chiller1,W,1 % of reading
ch1_on,"On/off control signal for Chiller1 (0 - off, 1 - on)",-,NA
pump1_power,Power consumption of Pump 1 (Chiller 1 water pump),W,1.2 % of reading
ch1_f_e,Flow rate of the PG through the evaporator in Chiller1,GAL_US-PER-MIN,5 % of reading
ch1_e_in_rtd,Temperature of the PG returning to both Chiller1 and Chiller2,DEG_F,0.21
ch1_e_out_rtd,Temperature of the PG leaving the evaporator in Chiller1,DEG_F,0.2
ch1_t_sp_f,Temperature setpoint of the PG leaving the evaporator in Chiller1,DEG_F,NA
ch2_power,Power consumption of Chiller2,W,1 % of reading
ch2_on,"On/off control signal for Chiller2 (0 - off, 1 - on)",-,NA
pump2_power,Power consumption of Pump 2 (Chiller 2 water pump),W,2.6 % of reading
ch2_f_e,Flow rate of the PG through the evaporator in Chiller2,GAL_US-PER-MIN,3.5 % of reading
ch2_e_out_rtd,Temperature of the PG leaving the evaporator in Chiller2,DEG_F,0.2
ch2_t_sp_f,Temperature setpoint of the PG leaving the evaporator in Chiller2,DEG_F,NA
pump4_power,Power consumption of Pump4 (conderser loop),W,2.47
pump4_out_rtd,Temperature downstream of Pump4,DEG_F,0.21
ch1_f_c,Flow rate of the water through the condenser in Chiller1,GAL_US-PER-MIN,0.54
ch1_c_out_rtd,Temperature of the water leaving the condenser in Chiller1,DEG_F,0.2
ch2_f_c,Flow rate of the water through the condenser in Chiller1,GAL_US-PER-MIN,0.65
ch2_c_out_rtd,Temperature of the water leaving the condenser in Chiller1,DEG_F,0.2
ts_mode,"Operating mode of the thermal storage tank (0 - off, 1 - discharge, 2 - charge)",-,NA
ts_meter,Ice meter reading of the inventory in the thermal storage tank,PERCENT,5
ts_f,Flow rate through the thermal storage tank,GAL_US-PER-MIN,1.51 % of reading
ts_in_rtd,Temperature of the PG entering the thermal storage tank,DEG_F,0.2
ts_out_rtd,Temperature of the PG leaving the thermal storage tank,DEG_F,0.2
pump3_power,Power consumption of Pump 3 (secondary loop pump),W,2.47
pump3_dp,Differential pressure across the secondary loop,PSI,0.25 % of reading
pump3_out_rtd,Temperature fo the PG downstream of Pump3 (temperature of the PG entering the cooling coils in AHU1 and AHU2),DEG_F,0.2
sl_vfd_sp_v,Differential pressure setpoint for the secondary loop pump (Pump 3),PSI,NA
sl_f,Flow rate in the secondary loop,GAL_US-PER-MIN,0.85
ahu1_f_sa,Flow rate of the outdoor air in AHU1,FT3-PER-MIN,10 % of reading
ahu1_sa_sp_per,Flow rate setpoint of the outdoor air in AHU1,FT3-PER-MIN,NA
ahu1_f_ra,Flow rate of the return airin AHU1,FT3-PER-MIN,10 % of reading
ahu1_p_down,Static pressure downstream of AHU1,IN_H2O,0.008
ahu1_fan_sp_inh2o,Static pressure setpoint for the supply fan in AHU1,IN_H2O,NA
ahu1_t_ra,Temperature of the return air in AHU1,DEG_F,0.2
ahu1_in_rtd,Temperature of the mixed air at the inlet of AHU1,DEG_F,0.2
ahu1_cc_rtd,Temperature of the air after the cooling coil in AHU1,DEG_F,0.2
ahu1_out_rtd,Temperature of the supply air downstream of AHU1,DEG_F,0.2
ahu1_cc_sp_f,Setpoint temperature for the supply air downstream of AHU1,DEG_F,NA
ahu1_rh_ra,Relative humidity of the return air in AHU1,PERCENT_RH,2
ahu1_rh_up,Relative humidity of the mixed air in AHU1,PERCENT_RH,2
ahu1_rh_down,Relative humidity of the supply air downstream of AHU1,PERCENT_RH,2
ahu1_f_cc,Flow rate of the PG through the cooling coil in AHU1,GAL_US-PER-MIN,0.25 % of reading
ahu1_cc_out_rtd,Temperature of the PG leaving the cooling coil in AHU1,DEG_F,0.2
v12_pos_c,Control signal for the position of Valve12 (vavle of the cooling coil in AHU1),V,NA
v12_pos_fb,Feedback signal for the position of Valve12 (vavle of the cooling coil in AHU1),V,NA
ahu1_on,On/off control signal for the AHU1 supply fan,-,NA
ahu1_fan_power,Power consumption of the AHU1 supply fan,W,2.47
ahu1_vfd,Speed of the AHU1 supply fan,HZ,NA
d6_pos_c,Control signal for the position of Damper6 (outdoor air damper),V,NA
d6_pos_fb,Feedback signal for the position of Damper6 (outdoor air damper),V,NA
d5_pos_c,Control signal for the position of Damper5 (recirculate air damper),V,NA
d5_pos_fb,Feedback signal for the position of Damper5 (recirculate air damper),V,NA
d10_pos_c,Control signal for the position of Damper10 (exhaust air damper),V,NA
d10_pos_fb,Feedback signal for the position of Damper10 (exhaust air damper),V,NA
vav3_f,Airflow rate through VAV3,FT3-PER-MIN,10 % of reading
vav3_d_sp,Flow setpont for the PI controller for the damper in VAV3,FT3-PER-MIN,NA
vav3_t_in,Temperature of the air upstream of VAV3,DEG_F,0.2
vav3_out_rtd,Temperature of the air downstream of VAV3,DEG_F,0.2
d17_pos_c,Control signal for the position of Damper17 (VAV3 damper),V,NA
d17_pos_fb,Feedback signal for the position of Damper17 (VAV3 damper),V,NA
vav3_heat_power,Power consumption of the electric reheat in VAV3,W,2.47
vav3_heat_c,Control signal for the electric reheat in VAV3,V,NA
zs3_out_rtd,Temperature of the air downstream of ZS3 (zone temperature),DEG_F,0.2
zs3_qst_sp_f,Temperature setpoint for sensible load control of ZS3 (simulated zone temperature),DEG_F,NA
zs3_t_sp_f,Temperature setpont for the air leaving ZS3 (zone temperature setpoint),DEG_F,NA
zs3_rh,Relative humidity of the air downstream of ZS3 (zone relative humidity),PERCENT_RH,2
zs3_qlrh_sp_per,Humidity ratio setpoint for latent load control of ZS3,KiloGM-PER-KiloGM,NA
vav4_f,Airflow rate through VAV4,FT3-PER-MIN,10 % of reading
vav4_d_sp,Flow setpoint for the PI controller for the damper in VAV4,FT3-PER-MIN,NA
vav4_t_in,Temperature of the air upstream of VAV4,DEG_F,0.2
vav4_out_rtd,Temperature of the air downstream of VAV4,DEG_F,0.2
d18_pos_c,Control signal for the position of Damper18 (VAV4 damper),V,NA
d18_pos_fb,Feedback signal for the position of Damper18 (VAV4 damper),V,NA
vav4_heat_power,Power consumption of the electric reheat in VAV4,W,2.47
vav4_heat_c,Control signal for the electric reheat in VAV4,V,NA
zs4_out_rtd,Temperature of the air downstream of ZS4 (zone temperature),DEG_F,0.2
zs4_qst_sp_f,Temperature setpoint for sensible load control of ZS4 (simulated zone temperature),DEG_F,NA
